routine_id,recommendation_rule_id,skin_type,acne_level_0_5,dryness_level_0_5,oiliness_level_0_5,sensitivity_level_0_5,recommended_cleanser,recommended_moisturizer,recommended_serum,recommended_spf,recommended_treatment,source_datasets,am_routine,pm_routine
RTN0000001,REC0000001,combination,0,0,0,0,ultra gentle cleanser,rich cream moisturizer,vitamin c serum,spf50 matte,benzoyl peroxide,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv,1) Cleanser: ultra gentle cleanser | 2) Serum: vitamin c serum | 3) Moisturizer: rich cream moisturizer | 4) SPF: spf50 matte,1) Cleanser: ultra gentle cleanser | 2) Treatment: benzoyl peroxide | 3) Moisturizer: rich cream moisturizer
RTN0000012,REC0000012,combination,0,0,5,2,milk cleanser,soothing moisturizer,hyaluronic acid serum,mineral spf50,barrier repair,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv,1) Cleanser: milk cleanser | 2) Serum: hyaluronic acid serum | 3) Moisturizer: soothing moisturizer | 4) SPF: mineral spf50,1) Cleanser: milk cleanser | 2) Treatment: barrier repair | 3) Moisturizer: soothing moisturizer
RTN0000013,REC0000013,combination,0,1,0,4,acne control cleanser,oil free gel moisturizer,hyaluronic acid serum,mineral spf50,anti aging routine,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv,1) Cleanser: acne control cleanser | 2) Serum: hyaluronic acid serum | 3) Moisturizer: oil free gel moisturizer | 4) SPF: mineral spf50,1) Cleanser: acne control cleanser | 2) Treatment: anti aging routine | 3) Moisturizer: oil free gel moisturizer
RTN0000014,REC0000014,combination,0,1,2,5,acne control cleanser,light lotion moisturizer,niacinamide serum,mineral spf50,calming treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv,1) Cleanser: acne control cleanser | 2) Serum: niacinamide serum | 3) Moisturizer: light lotion moisturizer | 4) SPF: mineral spf50,1) Cleanser: acne control cleanser | 2) Treatment: calming treatment | 3) Moisturizer: light lotion moisturizer
RTN0000015,REC0000015,combination,0,1,3,0,milk cleanser,light lotion moisturizer,hyaluronic acid serum,mineral spf50,anti aging routine,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv,1) Cleanser: milk cleanser | 2) Serum: hyaluronic acid serum | 3) Moisturizer: light lotion moisturizer | 4) SPF: mineral spf50,1) Cleanser: milk cleanser | 2) Treatment: anti aging routine | 3) Moisturizer: light lotion moisturizer
RTN0000016,REC0000016,combination,0,1,3,1,salicylic acid cleanser,light lotion moisturizer,retinol serum,mineral spf50,calming treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv,1) Cleanser: salicylic acid cleanser | 2) Serum: retinol serum | 3) Moisturizer: light lotion moisturizer | 4) SPF: mineral spf50,1) Cleanser: salicylic acid cleanser | 2) Treatment: calming treatment | 3) Moisturizer: light lotion moisturizer
RTN0000017,REC0000017,combination,0,1,3,2,acne control cleanser,oil free gel moisturizer,retinol serum,spf50,chemical exfoliation,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv,1) Cleanser: acne control cleanser | 2) Serum: retinol serum | 3) Moisturizer: oil free gel moisturizer | 4) SPF: spf50,1) Cleanser: acne control cleanser | 2) Treatment: chemical exfoliation | 3) Moisturizer: oil free gel moisturizer
RTN0000018,REC0000018,combination,0,1,3,4,milk cleanser,light lotion moisturizer,peptide serum,spf30,hydrating mask,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv,1) Cleanser: milk cleanser | 2) Serum: peptide serum | 3) Moisturizer: light lotion moisturizer | 4) SPF: spf30,1) Cleanser: milk cleanser | 2) Treatment: hydrating mask | 3) Moisturizer: light lotion moisturizer
RTN0000019,REC0000019,combination,0,1,3,5,acne control cleanser,oil free gel moisturizer,niacinamide serum,spf50,barrier repair,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv,1) Cleanser: acne control cleanser | 2) Serum: niacinamide serum | 3) Moisturizer: oil free gel moisturizer | 4) SPF: spf50,1) Cleanser: acne control cleanser | 2) Treatment: barrier repair | 3) Moisturizer: oil free gel moisturizer
RTN0000020,REC0000020,combination,0,1,3,5,hydrating cleanser,rich cream moisturizer,niacinamide serum,spf50,retinol treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv,1) Cleanser: hydrating cleanser | 2) Serum: niacinamide serum | 3) Moisturizer: rich cream moisturizer | 4) SPF: spf50,1) Cleanser: hydrating cleanser | 2) Treatment: retinol treatment | 3) Moisturizer: rich cream moisturizer
RTN0000021,REC0000021,combination,0,1,3,5,milk cleanser,soothing moisturizer,hyaluronic acid serum,mineral spf50,retinol treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv,1) Cleanser: milk cleanser | 2) Serum: hyaluronic acid serum | 3) Moisturizer: soothing moisturizer | 4) SPF: mineral spf50,1) Cleanser: milk cleanser | 2) Treatment: retinol treatment | 3) Moisturizer: soothing moisturizer
RTN0000022,REC0000022,combination,0,1,5,0,gentle foam cleanser,ceramide moisturizer,niacinamide serum,mineral spf50,hydrating mask,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv,1) Cleanser: gentle foam cleanser | 2) Serum: niacinamide serum | 3) Moisturizer: ceramide moisturizer | 4) SPF: mineral spf50,1) Cleanser: gentle foam cleanser | 2) Treatment: hydrating mask | 3) Moisturizer: ceramide moisturizer
RTN0000023,REC0000023,combination,0,2,0,1,acne control cleanser,ceramide moisturizer,peptide serum,mineral spf50,retinol treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv,1) Cleanser: acne control cleanser | 2) Serum: peptide serum | 3) Moisturizer: ceramide moisturizer | 4) SPF: mineral spf50,1) Cleanser: acne control cleanser | 2) Treatment: retinol treatment | 3) Moisturizer: ceramide moisturizer
RTN0000024,REC0000024,combination,0,2,0,1,ultra gentle cleanser,oil free gel moisturizer,peptide serum,spf50,anti aging routine,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv,1) Cleanser: ultra gentle cleanser | 2) Serum: peptide serum | 3) Moisturizer: oil free gel moisturizer | 4) SPF: spf50,1) Cleanser: ultra gentle cleanser | 2) Treatment: anti aging routine | 3) Moisturizer: oil free gel moisturizer
RTN0000025,REC0000025,combination,0,2,0,5,gentle foam cleanser,soothing moisturizer,vitamin c serum,spf50,anti aging routine,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv,1) Cleanser: gentle foam cleanser | 2) Serum: vitamin c serum | 3) Moisturizer: soothing moisturizer | 4) SPF: spf50,1) Cleanser: gentle foam cleanser | 2) Treatment: anti aging routine | 3) Moisturizer: soothing moisturizer
RTN0000026,REC0000026,combination,0,2,0,5,salicylic acid cleanser,soothing moisturizer,hyaluronic acid serum,mineral spf50,anti aging routine,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv,1) Cleanser: salicylic acid cleanser | 2) Serum: hyaluronic acid serum | 3) Moisturizer: soothing moisturizer | 4) SPF: mineral spf50,1) Cleanser: salicylic acid cleanser | 2) Treatment: anti aging routine | 3) Moisturizer: soothing moisturizer
RTN0000027,REC0000027,combination,0,2,1,1,salicylic acid cleanser,ceramide moisturizer,hyaluronic acid serum,spf30,barrier repair,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv,1) Cleanser: salicylic acid cleanser | 2) Serum: hyaluronic acid serum | 3) Moisturizer: ceramide moisturizer | 4) SPF: spf30,1) Cleanser: salicylic acid cleanser | 2) Treatment: barrier repair | 3) Moisturizer: ceramide moisturizer
RTN0000028,REC0000028,combination,0,2,1,2,acne control cleanser,light lotion moisturizer,retinol serum,spf50,benzoyl peroxide,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv,1) Cleanser: acne control cleanser | 2) Serum: retinol serum | 3) Moisturizer: light lotion moisturizer | 4) SPF: spf50,1) Cleanser: acne control cleanser | 2) Treatment: benzoyl peroxide | 3) Moisturizer: light lotion moisturizer
RTN0000029,REC0000029,combination,0,2,1,3,milk cleanser,oil free gel moisturizer,peptide serum,spf30,anti aging routine,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv,1) Cleanser: milk cleanser | 2) Serum: peptide serum | 3) Moisturizer: oil free gel moisturizer | 4) SPF: spf30,1) Cleanser: milk cleanser | 2) Treatment: anti aging routine | 3) Moisturizer: oil free gel moisturizer
RTN0000030,REC0000030,combination,0,2,2,5,ultra gentle cleanser,light lotion moisturizer,vitamin c serum,spf50,anti aging routine,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv,1) Cleanser: ultra gentle cleanser | 2) Serum: vitamin c serum | 3) Moisturizer: light lotion moisturizer | 4) SPF: spf50,1) Cleanser: ultra gentle cleanser | 2) Treatment: anti aging routine | 3) Moisturizer: light lotion moisturizer
RTN0000031,REC0000031,combination,0,2,2,5,ultra gentle cleanser,oil free gel moisturizer,centella serum,mineral spf50,retinol treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv,1) Cleanser: ultra gentle cleanser | 2) Serum: centella serum | 3) Moisturizer: oil free gel moisturizer | 4) SPF: mineral spf50,1) Cleanser: ultra gentle cleanser | 2) Treatment: retinol treatment | 3) Moisturizer: oil free gel moisturizer
RTN0000032,REC0000032,combination,0,2,3,2,ultra gentle cleanser,ceramide moisturizer,niacinamide serum,spf30,retinol treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv,1) Cleanser: ultra gentle cleanser | 2) Serum: niacinamide serum | 3) Moisturizer: ceramide moisturizer | 4) SPF: spf30,1) Cleanser: ultra gentle cleanser | 2) Treatment: retinol treatment | 3) Moisturizer: ceramide moisturizer
RTN0000033,REC0000033,combination,0,2,3,4,salicylic acid cleanser,rich cream moisturizer,hyaluronic acid serum,mineral spf50,retinol treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv,1) Cleanser: salicylic acid cleanser | 2) Serum: hyaluronic acid serum | 3) Moisturizer: rich cream moisturizer | 4) SPF: mineral spf50,1) Cleanser: salicylic acid cleanser | 2) Treatment: retinol treatment | 3) Moisturizer: rich cream moisturizer
RTN0000034,REC0000034,combination,0,2,4,0,hydrating cleanser,soothing moisturizer,retinol serum,spf50,barrier repair,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv,1) Cleanser: hydrating cleanser | 2) Serum: retinol serum | 3) Moisturizer: soothing moisturizer | 4) SPF: spf50,1) Cleanser: hydrating cleanser | 2) Treatment: barrier repair | 3) Moisturizer: soothing moisturizer
RTN0000035,REC0000035,combination,0,2,4,0,ultra gentle cleanser,light lotion moisturizer,hyaluronic acid serum,spf30,anti aging routine,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv,1) Cleanser: ultra gentle cleanser | 2) Serum: hyaluronic acid serum | 3) Moisturizer: light lotion moisturizer | 4) SPF: spf30,1) Cleanser: ultra gentle cleanser | 2) Treatment: anti aging routine | 3) Moisturizer: light lotion moisturizer
RTN0000036,REC0000036,combination,0,2,4,5,milk cleanser,light lotion moisturizer,hyaluronic acid serum,spf50,barrier repair,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv,1) Cleanser: milk cleanser | 2) Serum: hyaluronic acid serum | 3) Moisturizer: light lotion moisturizer | 4) SPF: spf50,1) Cleanser: milk cleanser | 2) Treatment: barrier repair | 3) Moisturizer: light lotion moisturizer
RTN0000037,REC0000037,combination,0,2,5,0,gentle foam cleanser,soothing moisturizer,centella serum,spf50 matte,hydrating mask,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv,1) Cleanser: gentle foam cleanser | 2) Serum: centella serum | 3) Moisturizer: soothing moisturizer | 4) SPF: spf50 matte,1) Cleanser: gentle foam cleanser | 2) Treatment: hydrating mask | 3) Moisturizer: soothing moisturizer
RTN0000038,REC0000038,combination,0,2,5,4,acne control cleanser,soothing moisturizer,peptide serum,spf50,anti aging routine,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv,1) Cleanser: acne control cleanser | 2) Serum: peptide serum | 3) Moisturizer: soothing moisturizer | 4) SPF: spf50,1) Cleanser: acne control cleanser | 2) Treatment: anti aging routine | 3) Moisturizer: soothing moisturizer
RTN0000039,REC0000039,combination,0,3,0,5,gentle foam cleanser,light lotion moisturizer,hyaluronic acid serum,spf30,retinol treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv,1) Cleanser: gentle foam cleanser | 2) Serum: hyaluronic acid serum | 3) Moisturizer: light lotion moisturizer | 4) SPF: spf30,1) Cleanser: gentle foam cleanser | 2) Treatment: retinol treatment | 3) Moisturizer: light lotion moisturizer
RTN0000040,REC0000040,combination,0,3,1,3,ultra gentle cleanser,rich cream moisturizer,centella serum,spf50,calming treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv,1) Cleanser: ultra gentle cleanser | 2) Serum: centella serum | 3) Moisturizer: rich cream moisturizer | 4) SPF: spf50,1) Cleanser: ultra gentle cleanser | 2) Treatment: calming treatment | 3) Moisturizer: rich cream moisturizer
RTN0000041,REC0000041,combination,0,3,1,4,milk cleanser,soothing moisturizer,niacinamide serum,spf50,anti aging routine,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv,1) Cleanser: milk cleanser | 2) Serum: niacinamide serum | 3) Moisturizer: soothing moisturizer | 4) SPF: spf50,1) Cleanser: milk cleanser | 2) Treatment: anti aging routine | 3) Moisturizer: soothing moisturizer
RTN0000042,REC0000042,combination,0,3,2,2,salicylic acid cleanser,ceramide moisturizer,centella serum,spf50 matte,chemical exfoliation,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv,1) Cleanser: salicylic acid cleanser | 2) Serum: centella serum | 3) Moisturizer: ceramide moisturizer | 4) SPF: spf50 matte,1) Cleanser: salicylic acid cleanser | 2) Treatment: chemical exfoliation | 3) Moisturizer: ceramide moisturizer
RTN0000043,REC0000043,combination,0,3,4,1,acne control cleanser,light lotion moisturizer,peptide serum,mineral spf50,chemical exfoliation,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv,1) Cleanser: acne control cleanser | 2) Serum: peptide serum | 3) Moisturizer: light lotion moisturizer | 4) SPF: mineral spf50,1) Cleanser: acne control cleanser | 2) Treatment: chemical exfoliation | 3) Moisturizer: light lotion moisturizer
RTN0000044,REC0000044,combination,0,3,4,1,ultra gentle cleanser,ceramide moisturizer,hyaluronic acid serum,mineral spf50,retinol treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv,1) Cleanser: ultra gentle cleanser | 2) Serum: hyaluronic acid serum | 3) Moisturizer: ceramide moisturizer | 4) SPF: mineral spf50,1) Cleanser: ultra gentle cleanser | 2) Treatment: retinol treatment | 3) Moisturizer: ceramide moisturizer
RTN0000045,REC0000045,combination,0,3,4,2,milk cleanser,ceramide moisturizer,centella serum,spf50 matte,retinol treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv,1) Cleanser: milk cleanser | 2) Serum: centella serum | 3) Moisturizer: ceramide moisturizer | 4) SPF: spf50 matte,1) Cleanser: milk cleanser | 2) Treatment: retinol treatment | 3) Moisturizer: ceramide moisturizer
RTN0000046,REC0000046,combination,0,3,4,4,gentle foam cleanser,rich cream moisturizer,niacinamide serum,spf30,chemical exfoliation,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv,1) Cleanser: gentle foam cleanser | 2) Serum: niacinamide serum | 3) Moisturizer: rich cream moisturizer | 4) SPF: spf30,1) Cleanser: gentle foam cleanser | 2) Treatment: chemical exfoliation | 3) Moisturizer: rich cream moisturizer
RTN0000047,REC0000047,combination,0,3,5,0,gentle foam cleanser,rich cream moisturizer,retinol serum,spf50,barrier repair,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv,1) Cleanser: gentle foam cleanser | 2) Serum: retinol serum | 3) Moisturizer: rich cream moisturizer | 4) SPF: spf50,1) Cleanser: gentle foam cleanser | 2) Treatment: barrier repair | 3) Moisturizer: rich cream moisturizer
RTN0000048,REC0000048,combination,0,3,5,1,ultra gentle cleanser,oil free gel moisturizer,peptide serum,spf30,barrier repair,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv,1) Cleanser: ultra gentle cleanser | 2) Serum: peptide serum | 3) Moisturizer: oil free gel moisturizer | 4) SPF: spf30,1) Cleanser: ultra gentle cleanser | 2) Treatment: barrier repair | 3) Moisturizer: oil free gel moisturizer
RTN0000049,REC0000049,combination,0,4,0,1,milk cleanser,soothing moisturizer,vitamin c serum,spf50,retinol treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv,1) Cleanser: milk cleanser | 2) Serum: vitamin c serum | 3) Moisturizer: soothing moisturizer | 4) SPF: spf50,1) Cleanser: milk cleanser | 2) Treatment: retinol treatment | 3) Moisturizer: soothing moisturizer
RTN0000050,REC0000050,combination,0,4,3,2,acne control cleanser,rich cream moisturizer,hyaluronic acid serum,mineral spf50,calming treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv,1) Cleanser: acne control cleanser | 2) Serum: hyaluronic acid serum | 3) Moisturizer: rich cream moisturizer | 4) SPF: mineral spf50,1) Cleanser: acne control cleanser | 2) Treatment: calming treatment | 3) Moisturizer: rich cream moisturizer
RTN0000051,REC0000051,combination,0,4,5,4,acne control cleanser,oil free gel moisturizer,retinol serum,spf50 matte,benzoyl peroxide,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv,1) Cleanser: acne control cleanser | 2) Serum: retinol serum | 3) Moisturizer: oil free gel moisturizer | 4) SPF: spf50 matte,1) Cleanser: acne control cleanser | 2) Treatment: benzoyl peroxide | 3) Moisturizer: oil free gel moisturizer
RTN0000052,REC0000052,combination,0,5,0,2,milk cleanser,soothing moisturizer,peptide serum,spf50,benzoyl peroxide,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv,1) Cleanser: milk cleanser | 2) Serum: peptide serum | 3) Moisturizer: soothing moisturizer | 4) SPF: spf50,1) Cleanser: milk cleanser | 2) Treatment: benzoyl peroxide | 3) Moisturizer: soothing moisturizer
RTN0000053,REC0000053,combination,0,5,0,3,milk cleanser,light lotion moisturizer,centella serum,spf30,barrier repair,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv,1) Cleanser: milk cleanser | 2) Serum: centella serum | 3) Moisturizer: light lotion moisturizer | 4) SPF: spf30,1) Cleanser: milk cleanser | 2) Treatment: barrier repair | 3) Moisturizer: light lotion moisturizer
RTN0000054,REC0000054,combination,0,5,1,4,salicylic acid cleanser,rich cream moisturizer,peptide serum,spf50,chemical exfoliation,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv,1) Cleanser: salicylic acid cleanser | 2) Serum: peptide serum | 3) Moisturizer: rich cream moisturizer | 4) SPF: spf50,1) Cleanser: salicylic acid cleanser | 2) Treatment: chemical exfoliation | 3) Moisturizer: rich cream moisturizer
RTN0000055,REC0000055,combination,0,5,2,0,acne control cleanser,light lotion moisturizer,peptide serum,mineral spf50,hydrating mask,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv,1) Cleanser: acne control cleanser | 2) Serum: peptide serum | 3) Moisturizer: light lotion moisturizer | 4) SPF: mineral spf50,1) Cleanser: acne control cleanser | 2) Treatment: hydrating mask | 3) Moisturizer: light lotion moisturizer
RTN0000056,REC0000056,combination,0,5,2,0,acne control cleanser,rich cream moisturizer,hyaluronic acid serum,mineral spf50,retinol treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv,1) Cleanser: acne control cleanser | 2) Serum: hyaluronic acid serum | 3) Moisturizer: rich cream moisturizer | 4) SPF: mineral spf50,1) Cleanser: acne control cleanser | 2) Treatment: retinol treatment | 3) Moisturizer: rich cream moisturizer
RTN0000057,REC0000057,combination,0,5,2,2,ultra gentle cleanser,oil free gel moisturizer,peptide serum,spf50,barrier repair,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv,1) Cleanser: ultra gentle cleanser | 2) Serum: peptide serum | 3) Moisturizer: oil free gel moisturizer | 4) SPF: spf50,1) Cleanser: ultra gentle cleanser | 2) Treatment: barrier repair | 3) Moisturizer: oil free gel moisturizer
RTN0000058,REC0000058,combination,0,5,2,3,ultra gentle cleanser,rich cream moisturizer,peptide serum,spf50,anti aging routine,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv,1) Cleanser: ultra gentle cleanser | 2) Serum: peptide serum | 3) Moisturizer: rich cream moisturizer | 4) SPF: spf50,1) Cleanser: ultra gentle cleanser | 2) Treatment: anti aging routine | 3) Moisturizer: rich cream moisturizer
RTN0000059,REC0000059,combination,0,5,3,1,milk cleanser,rich cream moisturizer,vitamin c serum,spf50 matte,retinol treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv,1) Cleanser: milk cleanser | 2) Serum: vitamin c serum | 3) Moisturizer: rich cream moisturizer | 4) SPF: spf50 matte,1) Cleanser: milk cleanser | 2) Treatment: retinol treatment | 3) Moisturizer: rich cream moisturizer
RTN0000060,REC0000060,combination,1,0,0,1,milk cleanser,oil free gel moisturizer,hyaluronic acid serum,spf30,anti aging routine,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv,1) Cleanser: milk cleanser | 2) Serum: hyaluronic acid serum | 3) Moisturizer: oil free gel moisturizer | 4) SPF: spf30,1) Cleanser: milk cleanser | 2) Treatment: anti aging routine | 3) Moisturizer: oil free gel moisturizer
RTN0000061,REC0000061,combination,1,0,0,1,milk cleanser,rich cream moisturizer,niacinamide serum,spf50,chemical exfoliation,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv,1) Cleanser: milk cleanser | 2) Serum: niacinamide serum | 3) Moisturizer: rich cream moisturizer | 4) SPF: spf50,1) Cleanser: milk cleanser | 2) Treatment: chemical exfoliation | 3) Moisturizer: rich cream moisturizer
RTN0000062,REC0000062,combination,1,0,0,3,ultra gentle cleanser,soothing moisturizer,hyaluronic acid serum,mineral spf50,retinol treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv,1) Cleanser: ultra gentle cleanser | 2) Serum: hyaluronic acid serum | 3) Moisturizer: soothing moisturizer | 4) SPF: mineral spf50,1) Cleanser: ultra gentle cleanser | 2) Treatment: retinol treatment | 3) Moisturizer: soothing moisturizer
RTN0000063,REC0000063,combination,1,0,1,0,hydrating cleanser,oil free gel moisturizer,peptide serum,mineral spf50,hydrating mask,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv,1) Cleanser: hydrating cleanser | 2) Serum: peptide serum | 3) Moisturizer: oil free gel moisturizer | 4) SPF: mineral spf50,1) Cleanser: hydrating cleanser | 2) Treatment: hydrating mask | 3) Moisturizer: oil free gel moisturizer
