recommendation_rule_id,skin_type,acne_level_0_5,dryness_level_0_5,oiliness_level_0_5,sensitivity_level_0_5,recommended_cleanser,recommended_moisturizer,recommended_serum,recommended_spf,recommended_treatment,source_datasets
REC0000012,combination,0,0,5,2,milk cleanser,soothing moisturizer,hyaluronic acid serum,mineral spf50,barrier repair,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000013,combination,0,1,0,4,acne control cleanser,oil free gel moisturizer,hyaluronic acid serum,mineral spf50,anti aging routine,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000014,combination,0,1,2,5,acne control cleanser,light lotion moisturizer,niacinamide serum,mineral spf50,calming treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000015,combination,0,1,3,0,milk cleanser,light lotion moisturizer,hyaluronic acid serum,mineral spf50,anti aging routine,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000016,combination,0,1,3,1,salicylic acid cleanser,light lotion moisturizer,retinol serum,mineral spf50,calming treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000017,combination,0,1,3,2,acne control cleanser,oil free gel moisturizer,retinol serum,spf50,chemical exfoliation,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000018,combination,0,1,3,4,milk cleanser,light lotion moisturizer,peptide serum,spf30,hydrating mask,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000019,combination,0,1,3,5,acne control cleanser,oil free gel moisturizer,niacinamide serum,spf50,barrier repair,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000020,combination,0,1,3,5,hydrating cleanser,rich cream moisturizer,niacinamide serum,spf50,retinol treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000021,combination,0,1,3,5,milk cleanser,soothing moisturizer,hyaluronic acid serum,mineral spf50,retinol treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000022,combination,0,1,5,0,gentle foam cleanser,ceramide moisturizer,niacinamide serum,mineral spf50,hydrating mask,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000023,combination,0,2,0,1,acne control cleanser,ceramide moisturizer,peptide serum,mineral spf50,retinol treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000024,combination,0,2,0,1,ultra gentle cleanser,oil free gel moisturizer,peptide serum,spf50,anti aging routine,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000025,combination,0,2,0,5,gentle foam cleanser,soothing moisturizer,vitamin c serum,spf50,anti aging routine,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000026,combination,0,2,0,5,salicylic acid cleanser,soothing moisturizer,hyaluronic acid serum,mineral spf50,anti aging routine,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000027,combination,0,2,1,1,salicylic acid cleanser,ceramide moisturizer,hyaluronic acid serum,spf30,barrier repair,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000028,combination,0,2,1,2,acne control cleanser,light lotion moisturizer,retinol serum,spf50,benzoyl peroxide,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000029,combination,0,2,1,3,milk cleanser,oil free gel moisturizer,peptide serum,spf30,anti aging routine,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000030,combination,0,2,2,5,ultra gentle cleanser,light lotion moisturizer,vitamin c serum,spf50,anti aging routine,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000031,combination,0,2,2,5,ultra gentle cleanser,oil free gel moisturizer,centella serum,mineral spf50,retinol treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000032,combination,0,2,3,2,ultra gentle cleanser,ceramide moisturizer,niacinamide serum,spf30,retinol treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000033,combination,0,2,3,4,salicylic acid cleanser,rich cream moisturizer,hyaluronic acid serum,mineral spf50,retinol treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000034,combination,0,2,4,0,hydrating cleanser,soothing moisturizer,retinol serum,spf50,barrier repair,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000035,combination,0,2,4,0,ultra gentle cleanser,light lotion moisturizer,hyaluronic acid serum,spf30,anti aging routine,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000036,combination,0,2,4,5,milk cleanser,light lotion moisturizer,hyaluronic acid serum,spf50,barrier repair,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000037,combination,0,2,5,0,gentle foam cleanser,soothing moisturizer,centella serum,spf50 matte,hydrating mask,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000038,combination,0,2,5,4,acne control cleanser,soothing moisturizer,peptide serum,spf50,anti aging routine,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000039,combination,0,3,0,5,gentle foam cleanser,light lotion moisturizer,hyaluronic acid serum,spf30,retinol treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000040,combination,0,3,1,3,ultra gentle cleanser,rich cream moisturizer,centella serum,spf50,calming treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000041,combination,0,3,1,4,milk cleanser,soothing moisturizer,niacinamide serum,spf50,anti aging routine,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000042,combination,0,3,2,2,salicylic acid cleanser,ceramide moisturizer,centella serum,spf50 matte,chemical exfoliation,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000043,combination,0,3,4,1,acne control cleanser,light lotion moisturizer,peptide serum,mineral spf50,chemical exfoliation,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000044,combination,0,3,4,1,ultra gentle cleanser,ceramide moisturizer,hyaluronic acid serum,mineral spf50,retinol treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000045,combination,0,3,4,2,milk cleanser,ceramide moisturizer,centella serum,spf50 matte,retinol treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000046,combination,0,3,4,4,gentle foam cleanser,rich cream moisturizer,niacinamide serum,spf30,chemical exfoliation,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000047,combination,0,3,5,0,gentle foam cleanser,rich cream moisturizer,retinol serum,spf50,barrier repair,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000048,combination,0,3,5,1,ultra gentle cleanser,oil free gel moisturizer,peptide serum,spf30,barrier repair,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000049,combination,0,4,0,1,milk cleanser,soothing moisturizer,vitamin c serum,spf50,retinol treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000050,combination,0,4,3,2,acne control cleanser,rich cream moisturizer,hyaluronic acid serum,mineral spf50,calming treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000051,combination,0,4,5,4,acne control cleanser,oil free gel moisturizer,retinol serum,spf50 matte,benzoyl peroxide,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000052,combination,0,5,0,2,milk cleanser,soothing moisturizer,peptide serum,spf50,benzoyl peroxide,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000053,combination,0,5,0,3,milk cleanser,light lotion moisturizer,centella serum,spf30,barrier repair,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000054,combination,0,5,1,4,salicylic acid cleanser,rich cream moisturizer,peptide serum,spf50,chemical exfoliation,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000055,combination,0,5,2,0,acne control cleanser,light lotion moisturizer,peptide serum,mineral spf50,hydrating mask,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000056,combination,0,5,2,0,acne control cleanser,rich cream moisturizer,hyaluronic acid serum,mineral spf50,retinol treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000057,combination,0,5,2,2,ultra gentle cleanser,oil free gel moisturizer,peptide serum,spf50,barrier repair,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000058,combination,0,5,2,3,ultra gentle cleanser,rich cream moisturizer,peptide serum,spf50,anti aging routine,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000059,combination,0,5,3,1,milk cleanser,rich cream moisturizer,vitamin c serum,spf50 matte,retinol treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000060,combination,1,0,0,1,milk cleanser,oil free gel moisturizer,hyaluronic acid serum,spf30,anti aging routine,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000061,combination,1,0,0,1,milk cleanser,rich cream moisturizer,niacinamide serum,spf50,chemical exfoliation,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000062,combination,1,0,0,3,ultra gentle cleanser,soothing moisturizer,hyaluronic acid serum,mineral spf50,retinol treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000063,combination,1,0,1,0,hydrating cleanser,oil free gel moisturizer,peptide serum,mineral spf50,hydrating mask,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000064,combination,1,0,1,1,hydrating cleanser,rich cream moisturizer,niacinamide serum,spf30,anti aging routine,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000065,combination,1,0,1,4,acne control cleanser,soothing moisturizer,niacinamide serum,mineral spf50,benzoyl peroxide,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000066,combination,1,0,1,5,salicylic acid cleanser,light lotion moisturizer,centella serum,spf30,calming treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000067,combination,1,0,2,3,ultra gentle cleanser,light lotion moisturizer,niacinamide serum,spf50,calming treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000068,combination,1,0,2,3,ultra gentle cleanser,soothing moisturizer,niacinamide serum,mineral spf50,calming treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000069,combination,1,0,2,4,ultra gentle cleanser,ceramide moisturizer,hyaluronic acid serum,spf50 matte,anti aging routine,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000070,combination,1,0,2,5,hydrating cleanser,light lotion moisturizer,retinol serum,spf50,retinol treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000071,combination,1,0,3,1,ultra gentle cleanser,ceramide moisturizer,vitamin c serum,spf50 matte,calming treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000072,combination,1,0,3,3,milk cleanser,soothing moisturizer,vitamin c serum,spf50,barrier repair,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000073,combination,1,0,3,5,ultra gentle cleanser,rich cream moisturizer,hyaluronic acid serum,mineral spf50,calming treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000074,combination,1,0,4,1,milk cleanser,ceramide moisturizer,niacinamide serum,mineral spf50,retinol treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000075,combination,1,1,0,1,hydrating cleanser,light lotion moisturizer,vitamin c serum,mineral spf50,calming treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000076,combination,1,1,0,3,acne control cleanser,light lotion moisturizer,vitamin c serum,mineral spf50,barrier repair,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000077,combination,1,1,1,4,gentle foam cleanser,soothing moisturizer,vitamin c serum,mineral spf50,chemical exfoliation,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000078,combination,1,1,2,2,milk cleanser,light lotion moisturizer,hyaluronic acid serum,spf30,anti aging routine,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000079,combination,1,1,2,5,gentle foam cleanser,oil free gel moisturizer,vitamin c serum,spf30,retinol treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000080,combination,1,1,3,4,gentle foam cleanser,oil free gel moisturizer,hyaluronic acid serum,mineral spf50,hydrating mask,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000081,combination,1,1,4,3,acne control cleanser,light lotion moisturizer,centella serum,spf50,calming treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000082,combination,1,1,4,4,salicylic acid cleanser,rich cream moisturizer,hyaluronic acid serum,spf30,chemical exfoliation,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000083,combination,1,1,5,3,milk cleanser,soothing moisturizer,hyaluronic acid serum,mineral spf50,benzoyl peroxide,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000084,combination,1,2,0,2,hydrating cleanser,ceramide moisturizer,niacinamide serum,mineral spf50,retinol treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000085,combination,1,2,0,3,acne control cleanser,soothing moisturizer,peptide serum,spf50 matte,chemical exfoliation,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000086,combination,1,2,0,3,hydrating cleanser,soothing moisturizer,retinol serum,mineral spf50,retinol treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000087,combination,1,2,2,1,gentle foam cleanser,soothing moisturizer,centella serum,mineral spf50,retinol treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000088,combination,1,2,3,1,hydrating cleanser,rich cream moisturizer,niacinamide serum,mineral spf50,anti aging routine,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000089,combination,1,2,3,2,milk cleanser,rich cream moisturizer,hyaluronic acid serum,spf50 matte,calming treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000090,combination,1,2,3,3,hydrating cleanser,soothing moisturizer,centella serum,spf30,benzoyl peroxide,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000091,combination,1,2,3,3,milk cleanser,rich cream moisturizer,peptide serum,mineral spf50,chemical exfoliation,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000092,combination,1,2,4,0,gentle foam cleanser,oil free gel moisturizer,centella serum,spf50 matte,benzoyl peroxide,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000093,combination,1,2,5,0,gentle foam cleanser,light lotion moisturizer,niacinamide serum,spf50 matte,anti aging routine,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000094,combination,1,2,5,3,ultra gentle cleanser,soothing moisturizer,vitamin c serum,spf30,calming treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000095,combination,1,3,0,1,acne control cleanser,oil free gel moisturizer,peptide serum,spf50,retinol treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000096,combination,1,3,0,2,acne control cleanser,soothing moisturizer,peptide serum,spf50,benzoyl peroxide,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000097,combination,1,3,1,4,ultra gentle cleanser,rich cream moisturizer,centella serum,mineral spf50,chemical exfoliation,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000098,combination,1,3,2,1,acne control cleanser,rich cream moisturizer,hyaluronic acid serum,spf50 matte,chemical exfoliation,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000099,combination,1,3,2,1,ultra gentle cleanser,rich cream moisturizer,centella serum,spf50 matte,benzoyl peroxide,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000100,combination,1,3,2,5,acne control cleanser,rich cream moisturizer,niacinamide serum,mineral spf50,chemical exfoliation,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000101,combination,1,3,2,5,gentle foam cleanser,soothing moisturizer,peptide serum,spf50 matte,chemical exfoliation,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000102,combination,1,3,3,1,acne control cleanser,oil free gel moisturizer,retinol serum,mineral spf50,barrier repair,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000103,combination,1,3,3,1,milk cleanser,light lotion moisturizer,niacinamide serum,spf50,benzoyl peroxide,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000104,combination,1,3,3,5,ultra gentle cleanser,oil free gel moisturizer,retinol serum,spf50,anti aging routine,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000105,combination,1,3,3,5,ultra gentle cleanser,soothing moisturizer,peptide serum,mineral spf50,retinol treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000106,combination,1,3,4,1,milk cleanser,soothing moisturizer,vitamin c serum,spf50,barrier repair,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000107,combination,1,4,0,3,gentle foam cleanser,soothing moisturizer,centella serum,spf50,anti aging routine,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000108,combination,1,4,1,1,salicylic acid cleanser,ceramide moisturizer,niacinamide serum,spf50,benzoyl peroxide,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000109,combination,1,4,1,5,acne control cleanser,soothing moisturizer,retinol serum,spf50,chemical exfoliation,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000110,combination,1,4,1,5,salicylic acid cleanser,soothing moisturizer,centella serum,spf50,retinol treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000111,combination,1,4,2,0,hydrating cleanser,oil free gel moisturizer,retinol serum,spf50 matte,hydrating mask,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000112,combination,1,4,2,3,milk cleanser,rich cream moisturizer,retinol serum,spf50,benzoyl peroxide,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000113,combination,1,4,3,1,salicylic acid cleanser,rich cream moisturizer,retinol serum,spf50 matte,barrier repair,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000114,combination,1,4,3,3,ultra gentle cleanser,light lotion moisturizer,vitamin c serum,spf50 matte,benzoyl peroxide,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000115,combination,1,4,4,1,acne control cleanser,soothing moisturizer,retinol serum,mineral spf50,barrier repair,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000116,combination,1,4,5,0,salicylic acid cleanser,soothing moisturizer,peptide serum,spf50 matte,chemical exfoliation,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000117,combination,1,4,5,2,acne control cleanser,oil free gel moisturizer,vitamin c serum,spf30,benzoyl peroxide,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000118,combination,1,4,5,2,milk cleanser,light lotion moisturizer,hyaluronic acid serum,mineral spf50,retinol treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000119,combination,1,4,5,3,acne control cleanser,rich cream moisturizer,peptide serum,spf30,chemical exfoliation,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000120,combination,1,5,0,0,ultra gentle cleanser,ceramide moisturizer,hyaluronic acid serum,spf30,chemical exfoliation,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000121,combination,1,5,0,3,hydrating cleanser,rich cream moisturizer,niacinamide serum,spf50,anti aging routine,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000122,combination,1,5,1,0,milk cleanser,soothing moisturizer,peptide serum,spf50,calming treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000123,combination,1,5,1,1,acne control cleanser,oil free gel moisturizer,hyaluronic acid serum,spf50 matte,retinol treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000124,combination,1,5,2,2,hydrating cleanser,soothing moisturizer,vitamin c serum,mineral spf50,benzoyl peroxide,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000125,combination,1,5,3,0,acne control cleanser,light lotion moisturizer,niacinamide serum,mineral spf50,barrier repair,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000126,combination,1,5,3,1,milk cleanser,ceramide moisturizer,hyaluronic acid serum,spf30,hydrating mask,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000127,combination,1,5,3,3,ultra gentle cleanser,soothing moisturizer,retinol serum,spf30,benzoyl peroxide,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000128,combination,1,5,4,2,hydrating cleanser,soothing moisturizer,centella serum,spf50 matte,anti aging routine,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000129,combination,1,5,4,2,milk cleanser,light lotion moisturizer,niacinamide serum,spf50 matte,retinol treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000130,combination,1,5,4,5,acne control cleanser,ceramide moisturizer,peptide serum,spf50 matte,barrier repair,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000131,combination,1,5,4,5,salicylic acid cleanser,light lotion moisturizer,centella serum,spf50,calming treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000132,combination,1,5,5,1,gentle foam cleanser,ceramide moisturizer,peptide serum,spf50,benzoyl peroxide,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000133,combination,2,0,0,0,milk cleanser,rich cream moisturizer,retinol serum,spf50,barrier repair,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000134,combination,2,0,0,0,ultra gentle cleanser,light lotion moisturizer,niacinamide serum,spf30,benzoyl peroxide,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000135,combination,2,0,0,3,milk cleanser,light lotion moisturizer,vitamin c serum,mineral spf50,hydrating mask,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000136,combination,2,0,0,4,gentle foam cleanser,oil free gel moisturizer,peptide serum,spf50,anti aging routine,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000137,combination,2,0,1,1,gentle foam cleanser,oil free gel moisturizer,vitamin c serum,spf50 matte,anti aging routine,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000138,combination,2,0,1,5,acne control cleanser,ceramide moisturizer,peptide serum,spf30,barrier repair,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000139,combination,2,0,1,5,gentle foam cleanser,oil free gel moisturizer,vitamin c serum,mineral spf50,benzoyl peroxide,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000140,combination,2,0,1,5,milk cleanser,rich cream moisturizer,peptide serum,spf50,anti aging routine,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000141,combination,2,0,2,2,ultra gentle cleanser,soothing moisturizer,peptide serum,mineral spf50,chemical exfoliation,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000142,combination,2,0,3,1,acne control cleanser,rich cream moisturizer,niacinamide serum,spf50,anti aging routine,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000143,combination,2,0,3,2,milk cleanser,light lotion moisturizer,centella serum,spf50,hydrating mask,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000144,combination,2,1,0,0,milk cleanser,ceramide moisturizer,centella serum,spf30,benzoyl peroxide,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000145,combination,2,1,0,0,milk cleanser,oil free gel moisturizer,hyaluronic acid serum,spf50,retinol treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000146,combination,2,1,0,2,salicylic acid cleanser,oil free gel moisturizer,centella serum,mineral spf50,barrier repair,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000147,combination,2,1,0,4,gentle foam cleanser,soothing moisturizer,hyaluronic acid serum,spf50,anti aging routine,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000148,combination,2,1,1,1,ultra gentle cleanser,oil free gel moisturizer,peptide serum,spf30,benzoyl peroxide,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000149,combination,2,1,1,3,acne control cleanser,oil free gel moisturizer,retinol serum,mineral spf50,anti aging routine,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000150,combination,2,1,1,3,milk cleanser,light lotion moisturizer,vitamin c serum,mineral spf50,calming treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
